Name,Position,Footed,Birthdate,Birthdate,Nationality,Club,Non-Penalty Goals,Non-Penalty xG(npxG),Shots Total,Assists,Expected Assisted Goals(xAG),npxG + xAG,Shot-Creating Actions,Passes Attempted,Pass Completion %,Progessive Passes,Progessive Carries,Successful Take-Ons,Touches(Att Pen),Tackles,Interceptions,Blocks,Clearances,Aerials Won
Ruben van Bommel,MF,N/A,August 3, 2004,Netherlands,AZ Alkmaar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ernest Poku,FW-MF,N/A,January 28, 2004,Netherlands,AZ Alkmaar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ibrahim Sadiq,FW,N/A,May 7, 2000,Ghana,AZ Alkmaar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayckel Lahdo,MF,Right,December 30, 2002,Sweden,AZ Alkmaar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kees Smit,MF,N/A,January 20, 2006,Netherlands,AZ Alkmaar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mees de Wit,DF-FW,N/A,April 17, 1998,Netherlands,AZ Alkmaar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jayden Addai,MF,N/A,August 26, 2005,Netherlands,AZ Alkmaar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dave Kwakman,MF,N/A,August 7, 2004,Netherlands,Groningen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ro-Zangelo Daal,MF,N/A,February 10, 2004,Netherlands,AZ Alkmaar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Igor Paixão,FW-MF(AM-left),Right,June 28, 2000,Brazil,Feyenoord,0.31,0.15,2.57,0.41,69  ,0.40,3.40,23.8,64.7%,1.96,2.57,2.78,5.77,1.65,0.62,0.41,1.54,0.62
